City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
204,Caravelas,BR,2020-02-24 01:19:37,-17.71,-39.25,79.86,84,100,13.29,light rain
205,Saint George,US,2020-02-24 01:16:00,37.1,-113.58,60.01,47,1,9.17,light rain
206,Port Blair,IN,2020-02-24 01:26:16,11.67,92.75,81.14,74,70,12.97,broken clouds
207,Mindelo,CV,2020-02-24 01:26:16,16.89,-24.98,66.2,72,20,9.17,few clouds
208,Samana,DO,2020-02-24 01:26:16,19.21,-69.34,68.52,97,1,4.16,light rain
209,Broken Hill,AU,2020-02-24 01:26:16,-31.95,141.43,78.8,50,32,5.82,scattered clouds
210,Narsaq,GL,2020-02-24 01:19:51,60.92,-46.05,23.0,67,100,13.87,snow
211,Suntar,RU,2020-02-24 01:26:17,62.14,117.63,-0.38,95,94,5.03,overcast clouds
212,Hailar,CN,2020-02-24 01:26:17,49.2,119.7,2.01,93,0,6.26,clear sky
213,Harlingen,US,2020-02-24 01:26:17,26.19,-97.7,73.99,78,75,13.87,broken clouds
214,Maltahohe,NA,2020-02-24 01:26:17,-24.83,16.98,69.28,67,9,4.03,clear sky
215,San Javier,ES,2020-02-24 01:26:18,37.81,-0.84,48.99,100,0,2.24,clear sky
216,Husavik,IS,2020-02-24 01:19:32,66.04,-17.34,22.64,73,28,9.01,scattered clouds
217,Mayo,US,2020-02-24 01:21:05,38.89,-76.51,48.99,58,1,5.82,clear sky
218,Cucutilla,CO,2020-02-24 01:26:18,7.54,-72.77,80.6,61,40,2.24,scattered clouds
219,Taoudenni,ML,2020-02-24 01:26:19,22.68,-3.98,73.8,10,53,16.58,broken clouds
220,Colchester,GB,2020-02-24 01:22:28,51.89,0.9,45.0,73,100,5.82,overcast clouds
221,Esperance,AU,2020-02-24 01:18:14,-33.87,121.9,69.8,77,90,14.99,overcast clouds
222,Kuytun,RU,2020-02-24 01:26:19,54.34,101.5,-1.08,99,26,2.15,scattered clouds
223,Rio Grande,BR,2020-02-24 01:21:23,-32.03,-52.1,68.0,75,1,13.8,clear sky
224,Nome,US,2020-02-24 01:18:20,64.5,-165.41,6.8,77,90,10.29,overcast clouds
225,Yulara,AU,2020-02-24 01:18:55,-25.24,130.99,86.0,23,0,17.22,clear sky
226,Beringovskiy,RU,2020-02-24 01:19:39,63.05,179.32,-7.49,86,5,3.44,clear sky
227,Vysokogornyy,RU,2020-02-24 01:26:21,50.12,139.15,5.43,93,100,1.83,overcast clouds
228,Sabha,LY,2020-02-24 01:26:21,27.04,14.43,48.97,61,0,7.07,clear sky
229,Lewistown,US,2020-02-24 01:26:21,40.6,-77.57,48.2,42,90,4.5,overcast clouds
230,Yarada,IN,2020-02-24 01:21:16,17.65,83.27,68.0,94,20,2.24,mist
231,Urumqi,CN,2020-02-24 01:26:21,43.8,87.6,30.2,86,40,2.24,mist
232,Pisco,PE,2020-02-24 01:26:22,-13.7,-76.22,75.2,78,75,10.29,broken clouds
233,Madera,US,2020-02-24 01:26:22,37.17,-119.83,66.2,51,1,8.05,clear sky
234,Codajas,BR,2020-02-24 01:26:22,-3.84,-62.06,76.48,93,80,1.39,light rain
235,Hilo,US,2020-02-24 01:16:51,19.73,-155.09,82.4,54,20,16.11,few clouds
236,Madinat Sittah Uktubar,EG,2020-02-24 01:26:23,29.82,31.05,50.0,81,75,4.7,broken clouds
237,Egvekinot,RU,2020-02-24 01:26:23,66.32,-179.17,-23.17,89,0,3.04,clear sky
238,Maniitsoq,GL,2020-02-24 01:26:23,65.42,-52.9,12.02,65,79,11.79,broken clouds
239,Codrington,AU,2020-02-24 01:26:23,-38.27,141.97,62.37,89,91,12.91,overcast clouds
240,Bowen,AU,2020-02-24 01:26:24,-20.02,148.23,82.4,78,90,5.82,overcast clouds
241,Careiro Da Varzea,BR,2020-02-24 01:26:24,-3.2,-59.81,82.4,83,20,3.36,few clouds
242,Kibala,TD,2020-02-24 01:26:24,9.11,18.35,80.6,16,0,6.93,clear sky
243,Dingle,PH,2020-02-24 01:20:07,11.0,122.67,75.58,86,67,12.39,light rain
